oblast,raion,hromada,level,started_at,finished_at,source,duration_min
Kyiv City,,,oblast,2022-05-08 04:35:26+00:00,2022-05-08 05:03:53+00:00,official,28.45
Kyiv City,,,oblast,2022-05-08 05:21:26+00:00,2022-05-08 05:39:56+00:00,official,18.5
Kyiv City,,,oblast,2022-05-08 06:31:00+00:00,2022-05-08 06:52:31+00:00,official,21.516666666666666
Kyiv City,,,oblast,2022-05-08 08:50:27+00:00,2022-05-08 09:12:40+00:00,official,22.216666666666665
Kyiv City,,,oblast,2022-05-08 14:49:33+00:00,2022-05-08 16:02:03+00:00,official,72.5
Kyiv City,,,oblast,2022-05-08 18:49:27+00:00,2022-05-08 19:04:15+00:00,official,14.8
Kyiv City,,,oblast,2022-05-09 08:08:33+00:00,2022-05-09 08:24:06+00:00,official,15.55
Kyiv City,,,oblast,2022-05-09 12:50:06+00:00,2022-05-09 13:15:36+00:00,official,25.5
Kyiv City,,,oblast,2022-05-09 16:47:08+00:00,2022-05-09 17:11:32+00:00,official,24.4
Kyiv City,,,oblast,2022-05-10 15:56:13+00:00,2022-05-10 16:41:11+00:00,official,44.96666666666667
Kyiv City,,,oblast,2022-05-11 21:33:29+00:00,2022-05-11 22:04:40+00:00,official,31.183333333333334
Kyiv City,,,oblast,2022-05-12 14:10:41+00:00,2022-05-12 15:08:51+00:00,official,58.166666666666664
Kyiv City,,,oblast,2022-05-12 18:39:05+00:00,2022-05-12 20:25:39+00:00,official,106.56666666666666
Kyiv City,,,oblast,2022-05-12 20:41:04+00:00,2022-05-12 22:13:13+00:00,official,92.15
Kyiv City,,,oblast,2022-05-13 00:02:35+00:00,2022-05-13 00:34:49+00:00,official,32.233333333333334
Kyiv City,,,oblast,2022-05-13 17:52:26+00:00,2022-05-13 19:29:57+00:00,official,97.51666666666667
Kyiv City,,,oblast,2022-05-14 08:15:23+00:00,2022-05-14 08:35:40+00:00,official,20.283333333333335
Kyiv City,,,oblast,2022-05-14 12:22:34+00:00,2022-05-14 12:30:15+00:00,official,7.683333333333334
Kyiv City,,,oblast,2022-05-15 00:18:17+00:00,2022-05-15 01:50:47+00:00,official,92.5
Kyiv City,,,oblast,2022-05-15 05:27:18+00:00,2022-05-15 06:16:29+00:00,official,49.18333333333333
Kyiv City,,,oblast,2022-05-15 18:36:13+00:00,2022-05-15 19:21:43+00:00,official,45.5
Kyiv City,,,oblast,2022-05-16 05:54:55+00:00,2022-05-16 06:33:22+00:00,official,38.45
Kyiv City,,,oblast,2022-05-16 21:19:36+00:00,2022-05-16 22:11:53+00:00,official,52.28333333333333
Kyiv City,,,oblast,2022-05-16 23:49:57+00:00,2022-05-17 02:28:20+00:00,official,158.38333333333333
Kyiv City,,,oblast,2022-05-17 18:50:21+00:00,2022-05-17 20:03:30+00:00,official,73.15
Kyiv City,,,oblast,2022-05-18 15:35:45+00:00,2022-05-18 18:14:24+00:00,official,158.65
Kyiv City,,,oblast,2022-05-18 18:52:28+00:00,2022-05-18 19:40:41+00:00,official,48.21666666666667
Kyiv City,,,oblast,2022-05-20 03:05:53+00:00,2022-05-20 03:32:19+00:00,official,26.433333333333334
Kyiv City,,,oblast,2022-05-20 05:17:27+00:00,2022-05-20 06:15:09+00:00,official,57.7
Kyiv City,,,oblast,2022-05-20 11:55:36+00:00,2022-05-20 12:27:08+00:00,official,31.533333333333335
Kyiv City,,,oblast,2022-05-20 12:52:25+00:00,2022-05-20 13:11:47+00:00,official,19.366666666666667
Kyiv City,,,oblast,2022-05-20 13:36:08+00:00,2022-05-20 16:01:46+00:00,official,145.63333333333333
Kyiv City,,,oblast,2022-05-21 01:40:09+00:00,2022-05-21 02:11:40+00:00,official,31.516666666666666
Kyiv City,,,oblast,2022-05-21 07:41:33+00:00,2022-05-21 09:02:01+00:00,official,80.46666666666667
Kyiv City,,,oblast,2022-05-21 09:41:25+00:00,2022-05-21 10:10:34+00:00,official,29.15
Kyiv City,,,oblast,2022-05-22 10:08:24+00:00,2022-05-22 11:19:27+00:00,official,71.05
Kyiv City,,,oblast,2022-05-22 13:38:56+00:00,2022-05-22 15:11:18+00:00,official,92.36666666666666
Kyiv City,,,oblast,2022-05-22 20:57:05+00:00,2022-05-22 21:45:58+00:00,official,48.88333333333333
Kyiv City,,,oblast,2022-05-22 21:47:30+00:00,2022-05-22 23:18:18+00:00,official,90.8
Kyiv City,,,oblast,2022-05-23 00:34:56+00:00,2022-05-23 01:18:00+00:00,official,43.06666666666667
